seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt
SA-000003,65.14,ALLEY,,,772.7258,30,Alley,PCC Jointed Concrete,23181.774,Fair,1510060.758
SA-000004,67.45,ALLEY,,,196.0025,30,Alley,PCC Jointed Concrete,5880.075,Fair,396611.0588
SA-000005,70.88,ALLEY,,,395.0049,30,Alley,PCC Jointed Concrete,11850.147,Good,839938.4194
SA-000006,84.00,ALLEY,,,192.0025,30,Alley,PCC Jointed Concrete,5760.075,Good,483846.3
SA-000008,79.24,ALLEY,,,251.754,30,Alley,PCC Jointed Concrete,7552.62,Good,598469.6088
SA-000011,86.50,ALLEY,,,222.0267,30,Alley,AC Improved,6660.801,Good,576159.2865
SA-000012,44.62,ALLEY,,,687.3638,30,Alley,PCC Jointed Concrete,20620.914,Fair,920105.1827
SA-000025,58.34,ALLEY,,,569.2424,30,Alley,PCC Jointed Concrete,17077.272,Fair,996288.0485
SA-000028,81.44,ALLEY,,,205.6429,30,Alley,PCC Jointed Concrete,6169.287,Good,502426.7333
SA-000029,75.72,ALLEY,,,308.7557,30,Alley,PCC Jointed Concrete,9262.671,Good,701369.4481
SA-000032,64.60,ALLEY,,,570.8481,30,Alley,PCC Jointed Concrete,17125.443,Fair,1106303.618
SA-000034,57.71,ALLEY,,,481.4721,30,Alley,PCC Jointed Concrete,14444.163,Fair,833572.6467
SA-000035,54.50,ALLEY,,,339.4048,30,Alley,PCC Jointed Concrete,10182.144,Fair,554926.848
SA-000036,70.38,ALLEY,,,254.2381,30,Alley,PCC Jointed Concrete,7627.143,Good,536798.3243
SA-000038,6.53,ALLEY,,,337.0133,30,Alley,AC Improved,10110.399,Poor,66020.90547
SA-000039,52.04,ALLEY,,,818.9255,30,Alley,PCC Jointed Concrete,24567.765,Fair,1278506.491
SA-000040,61.99,ALLEY,,,613.4309,30,Alley,PCC Jointed Concrete,18402.927,Fair,1140797.445
SA-000042,65.19,ALLEY,,,188.4515,30,Alley,PCC Jointed Concrete,5653.545,Fair,368554.5986
SA-000043,39.58,ALLEY,,,856.1892,30,Alley,AC Improved,25685.676,Poor,1016639.056
SA-000044,79.55,ALLEY,,,436.6064,30,Alley,PCC Jointed Concrete,13098.192,Good,1041961.174
SA-000045,98.67,ALLEY,,,253.464,30,Alley,PCC Jointed Concrete,7603.92,Good,750278.7864
SA-000046,71.79,ALLEY,,,887.4527,30,Alley,PCC Jointed Concrete,26623.581,Good,1911253.633
SA-000047,68.41,ALLEY,,,303.3283,30,Alley,PCC Jointed Concrete,9099.849,Fair,622520.6701
SA-000048,54.66,ALLEY,,,154.8978,30,Alley,PCC Jointed Concrete,4646.934,Fair,254001.4124
SA-000049,97.00,ALLEY,,,333.345,30,Alley,PCC Jointed Concrete,10000.35,Good,970033.95
SA-000050,78.00,ALLEY,,,260.0479,30,Alley,PCC Jointed Concrete,7801.437,Good,608512.086
SA-000051,87.50,ALLEY,,,153.6586,30,Alley,PCC Jointed Concrete,4609.758,Good,403353.825
SA-000054,80.44,ALLEY,,,344.8697,30,Alley,PCC Jointed Concrete,10346.091,Good,832239.56
SA-000055,68.65,ALLEY,,,661,30,Alley,PCC Jointed Concrete,19830,Fair,1361329.5
SA-000056,81.32,ALLEY,,,658.003,30,Alley,PCC Jointed Concrete,19740.09,Good,1605264.119
SA-000057,73.77,ALLEY,,,315.009,30,Alley,PCC Jointed Concrete,9450.27,Good,697146.4179
SA-000058,73.72,ALLEY,,,460.0083,30,Alley,PCC Jointed Concrete,13800.249,Good,1017354.356
SA-000059,59.00,ALLEY,,,282.1656,30,Alley,PCC Jointed Concrete,8464.968,Fair,499433.112
SA-000060,56.36,ALLEY,,,299.0324,30,Alley,PCC Jointed Concrete,8970.972,Fair,505603.9819
SA-000061,84.00,ALLEY,,,224.4616,30,Alley,PCC Jointed Concrete,6733.848,Good,565643.232
SA-000062,30.95,ALLEY,,,225.1632,30,Alley,PCC Jointed Concrete,6754.896,Poor,209064.0312
SA-000071,90.37,ALLEY,,,151.9357,30,Alley,PCC Jointed Concrete,4558.071,Good,411912.8763
SA-000072,87.88,ALLEY,,,611.9728,30,Alley,PCC Jointed Concrete,18359.184,Good,1613405.09
SA-000073,60.25,ALLEY,,,257.0488,30,Alley,PCC Jointed Concrete,7711.464,Fair,464615.706
SA-000074,58.35,ALLEY,,,387.0038,30,Alley,PCC Jointed Concrete,11610.114,Fair,677450.1519
SA-000075,55.99,ALLEY,,,439.0047,30,Alley,PCC Jointed Concrete,13170.141,Fair,737396.1946
SA-000076,60.59,ALLEY,,,440.0001,30,Alley,PCC Jointed Concrete,13200.003,Fair,799788.1818
SA-000077,58.26,ALLEY,,,380.8376,30,Alley,PCC Jointed Concrete,11425.128,Fair,665627.9573
SA-000078,63.01,ALLEY,,,667.0067,30,Alley,PCC Jointed Concrete,20010.201,Fair,1260842.765
SA-000079,61.27,ALLEY,,,666.003,30,Alley,PCC Jointed Concrete,19980.09,Fair,1224180.114
SA-000080,58.00,ALLEY,,,576.905,30,Alley,PCC Jointed Concrete,17307.15,Fair,1003814.7
SA-000081,60.04,ALLEY,,,234.002,30,Alley,PCC Jointed Concrete,7020.06,Fair,421484.4024
SA-000082,82.62,ALLEY,,,391.5319,30,Alley,PCC Jointed Concrete,11745.957,Good,970450.9673
SA-000083,72.94,ALLEY,,,659.003,30,Alley,PCC Jointed Concrete,19770.09,Good,1442030.365
SA-000084,16.88,ALLEY,,,662.0145,30,Alley,PCC Jointed Concrete,19860.435,Poor,335244.1428
SA-000088,76.01,ALLEY,,,617.0009,30,Alley,PCC Jointed Concrete,18510.027,Good,1406947.152
SA-000089,59.99,ALLEY,,,627.0034,30,Alley,PCC Jointed Concrete,18810.102,Fair,1128418.019
SA-000090,48.93,ALLEY,,,662.0077,30,Alley,PCC Jointed Concrete,19860.231,Fair,971761.1028
SA-000091,67.42,ALLEY,,,659.0008,30,Alley,PCC Jointed Concrete,19770.024,Fair,1332895.018
SA-000092,61.79,ALLEY,,,379.021,30,Alley,PCC Jointed Concrete,11370.63,Fair,702591.2277
SA-000093,86.24,ALLEY,,,273.0074,30,Alley,PCC Jointed Concrete,8190.222,Good,706324.7453
SA-000094,73.64,ALLEY,,,443.0046,30,Alley,PCC Jointed Concrete,13290.138,Good,978685.7623
SA-000095,61.60,ALLEY,,,437.0013,30,Alley,PCC Jointed Concrete,13110.039,Fair,807578.4024
SA-000096,61.37,ALLEY,,,652.0077,30,Alley,PCC Jointed Concrete,19560.231,Fair,1200411.376
SA-000097,73.20,ALLEY,,,170.0029,30,Alley,PCC Jointed Concrete,5100.087,Good,373326.3684
SA-000098,61.90,ALLEY,,,150,30,Alley,PCC Jointed Concrete,4500,Fair,278550
SA-000099,92.33,ALLEY,,,542.0088,30,Alley,PCC Jointed Concrete,16260.264,Good,1501310.175
SA-000100,85.80,ALLEY,,,218.1122,30,Alley,PCC Jointed Concrete,6543.366,Good,561420.8028
SA-000101,81.24,ALLEY,,,634.0008,30,Alley,PCC Jointed Concrete,19020.024,Good,1545186.75
SA-000102,66.50,ALLEY,,,437.0425,30,Alley,PCC Jointed Concrete,13111.275,Fair,871899.7875
SA-000103,74.84,ALLEY,,,658,30,Alley,PCC Jointed Concrete,19740,Good,1477341.6
SA-000104,54.62,ALLEY,,,663.003,30,Alley,PCC Jointed Concrete,19890.09,Fair,1086396.716
SA-000106,77.28,ALLEY,,,368.0003,30,Alley,PCC Jointed Concrete,11040.009,Good,853171.8955
SA-000108,75.77,ALLEY,,,515.6326,30,Alley,PCC Jointed Concrete,15468.978,Good,1172084.463
SA-000109,52.73,ALLEY,,,442.0001,30,Alley,PCC Jointed Concrete,13260.003,Fair,699199.9582
SA-000111,60.55,ALLEY,,,698.0028,30,Alley,PCC Jointed Concrete,20940.084,Fair,1267922.086
SA-000112,92.65,ALLEY,,,440.0012,30,Alley,PCC Jointed Concrete,13200.036,Good,1222983.335
SA-000113,66.21,ALLEY,,,526.5005,30,Alley,PCC Jointed Concrete,15795.015,Fair,1045787.943
SA-000114,82.88,ALLEY,,,301.0416,30,Alley,PCC Jointed Concrete,9031.248,Good,748509.8342
SA-000115,58.50,ALLEY,,,503.9638,30,Alley,PCC Jointed Concrete,15118.914,Fair,884456.469
SA-000116,75.90,ALLEY,,,187.024,30,Alley,PCC Jointed Concrete,5610.72,Good,425853.648
SA-000117,68.67,ALLEY,,,342.0033,30,Alley,PCC Jointed Concrete,10260.099,Fair,704560.9983
SA-000118,65.11,ALLEY,,,482.0094,30,Alley,PCC Jointed Concrete,14460.282,Fair,941508.961
SA-000119,87.48,ALLEY,,,171.0029,30,Alley,PCC Jointed Concrete,5130.087,Good,448780.0108
SA-000120,81.55,ALLEY,,,351.1112,30,Alley,PCC Jointed Concrete,10533.336,Good,858993.5508
SA-000121,89.70,ALLEY,,,331.5023,30,Alley,PCC Jointed Concrete,9945.069,Good,892072.6893
SA-000124,70.08,ALLEY,,,288.007,30,Alley,PCC Jointed Concrete,8640.21,Good,605505.9168
SA-000125,62.55,ALLEY,,,377.0012,30,Alley,PCC Jointed Concrete,11310.036,Fair,707442.7518
SA-000126,77.76,ALLEY,,,680.0029,30,Alley,PCC Jointed Concrete,20400.087,Good,1586310.765
SA-000127,84.91,ALLEY,,,643.0031,30,Alley,PCC Jointed Concrete,19290.093,Good,1637921.797
SA-000128,50.08,ALLEY,,,680.0029,30,Alley,PCC Jointed Concrete,20400.087,Fair,1021636.357
SA-000129,64.14,ALLEY,,,680.0183,30,Alley,PCC Jointed Concrete,20400.549,Fair,1308491.213
SA-000130,69.58,ALLEY,,,683.0007,30,Alley,PCC Jointed Concrete,20490.021,Fair,1425695.661
SA-000131,34.99,ALLEY,,,678.0066,30,Alley,PCC Jointed Concrete,20340.198,Poor,711703.528
SA-000132,31.58,ALLEY,,,683.0536,30,Alley,PCC Jointed Concrete,20491.608,Poor,647124.9806
SA-000133,32.80,ALLEY,,,679.0066,30,Alley,AC Improved,20370.198,Poor,668142.4944
SA-000134,58.02,ALLEY,,,683.0117,30,Alley,PCC Jointed Concrete,20490.351,Fair,1188850.165
SA-000135,60.15,ALLEY,,,482.44,30,Alley,PCC Jointed Concrete,14473.2,Fair,870562.98
SA-000136,75.08,ALLEY,,,665.0486,30,Alley,PCC Jointed Concrete,19951.458,Good,1497955.467
SA-000138,91.20,ALLEY,,,617.014,30,Alley,PCC Jointed Concrete,18510.42,Good,1688150.304
SA-000139,61.16,ALLEY,,,661.0242,30,Alley,PCC Jointed Concrete,19830.726,Fair,1212847.202
SA-000140,66.01,ALLEY,,,781.0026,30,Alley,PCC Jointed Concrete,23430.078,Fair,1546619.449
