id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
01AV018207,01 AV,A ST - ASH ST,18010,,,,18010,0182-07,2007-03-13
01AV015210,01 AV,A ST - ASH ST,20060,,,,20060,0152-10,2010-03-18
01AV018213,01 AV,A ST - ASH ST,19597,,,,19597,0182-13,2013-03-12
01AV007721,01 AV,A ST - ASH ST,10640,,,,10640,0077-21,2021-03-10
01AV088812,01 AV,ASH ST - BEECH ST,2298,,,,2298,0888-12,2012-12-11
01AV068711,01 AV,B ST - A ST,15625,,,,15625,0687-11,2011-09-01
01AV000714,01 AV,B ST - A ST,13569,,,,13569,0007-14,2014-02-11
01AV048412,01 AV,B ST - C ST,13389,,,,13389,0484-12,2012-05-31
01AV048115,01 AV,B ST - C ST,13995,,,,13995,0481-15,2015-06-17
01AV019406,01 AV,BEECH ST - CEDAR ST,27450,,,,27450,0194-06,2006-03-23
01AV017909,01 AV,BEECH ST - CEDAR ST,22345,,,,22345,0179-09,2009-03-31
01AV018912,01 AV,BEECH ST - CEDAR ST,18742,,,,18742,0189-12,2012-03-08
01AV022415,01 AV,BEECH ST - CEDAR ST,24463,,,,24463,0224-15,2015-04-30
01AV005516,01 AV,BEECH ST - CEDAR ST,25715,,,,25715,0055-16,2016-03-30
01AV010220,01 AV,BEECH ST - CEDAR ST,16482,,,,16482,0102-20,2020-03-12
01AV058207,01 AV,E ST - BROADWAY ,10410,,,,10410,0582-07,2008-01-08
01AV000611,01 AV,E ST - BROADWAY ,12905,,,,12905,0006-11,2011-02-08
01AV000814,01 AV,E ST - BROADWAY ,11278,,,,11278,0008-14,2014-02-11
01AV016105,01 AV,ELM ST - FIR ST,3920,,,,3920,0161-05,2006-03-30
01AV018909,01 AV,ELM ST - FIR ST,3285,,,,3285,0189-09,2009-03-31
01AV019012,01 AV,ELM ST - FIR ST,3414,,,,3414,0190-12,2012-03-08
01AV114314,01 AV,ELM ST - FIR ST,3419,,,,3419,1143-14,2014-08-05
01AV022515,01 AV,ELM ST - FIR ST,3477,,,,3477,0225-15,2015-04-30
01AV006516,01 AV,ELM ST - FIR ST,3474,,,,3474,0065-16,2016-03-01
