,oci,seg_length_ft,seg_width_ft,area_sq_ft,oci_wt,seg_cd,length,width,paving_miles,oci_cat,func_cat,pvm_cat,status_cat,day_diff
0,34.14,937.9261,30.0,28137.783,960623.94,2,938,30,0.17765151,0,6,1,1,0
1,97.25,673.3209,30.0,20199.627,1964413.8,2,674,30,0.12765151,1,6,2,1,0
2,62.67,657.2,30.0,19716.0,1235601.8,2,658,30,0.12462121,1,6,2,1,0
3,68.86,679.106,30.0,20373.18,1402897.1,9,680,30,0.12878788,1,6,2,1,0
4,28.67,660.0917,30.0,19802.752,567744.9,9,661,30,0.1251894,0,6,2,1,0
5,20.91,664.0914,30.0,19922.742,416584.53,9,665,30,0.12594697,0,6,2,1,0
6,82.21,195.8979,30.0,5876.937,483143.0,9,196,30,0.03712121,1,6,2,1,0
7,77.02,579.0554,30.0,17371.662,1337965.4,3,580,30,0.109848484,1,6,2,1,0
8,50.71,341.6546,30.0,10249.638,519759.16,3,342,30,0.064772725,1,6,2,1,0
9,56.74,2399.603,30.0,71988.09,4084604.2,1,2400,30,0.45454547,1,6,2,1,0
10,82.74,322.8165,30.0,9684.495,801295.1,2,323,30,0.061174244,1,6,2,1,0
11,41.09,336.1741,30.0,10085.223,414401.8,2,337,30,0.06382576,1,6,1,1,169
12,54.93,324.2795,30.0,9728.385,534380.2,2,325,30,0.06155303,1,6,1,1,169
13,74.7,370.13,30.0,11103.9,829461.3,2,371,30,0.07026515,1,6,2,1,169
14,33.27,125.9248,30.0,3777.744,125685.54,2,126,30,0.023863636,0,6,1,1,0
15,84.98,352.0,40.0,14080.0,1196490.2,3,352,40,0.06666667,1,2,1,3,154
16,84.98,352.0,40.0,14080.0,1196490.2,3,352,40,0.06666667,1,2,1,1,0
17,77.62,357.0,40.0,14280.0,1108356.5,3,357,40,0.06761364,1,2,1,3,154
18,77.62,357.0,40.0,14280.0,1108356.5,3,357,40,0.06761364,1,2,1,1,0
19,78.78,718.0,42.0,30156.0,2375569.0,3,718,42,0.13598485,1,2,1,4,194
20,78.78,718.0,42.0,30156.0,2375569.0,3,718,42,0.13598485,1,2,1,1,0
21,62.01,607.0,42.0,25494.0,1580883.0,3,607,42,0.11496212,1,2,1,1,0
22,50.86,475.0,42.0,19950.0,1014577.2,3,475,42,0.08996212,1,2,1,1,0
23,87.95,660.0007,42.0,27720.03,2438032.0,3,661,42,0.1251894,1,2,1,1,0
24,81.94,659.019,42.0,27678.799,2267945.2,3,660,42,0.125,1,2,1,1,0
25,48.84,676.2468,42.0,28402.365,1387057.9,3,677,42,0.1282197,1,2,1,1,0
26,66.31,253.0,52.0,13156.0,872321.75,3,253,52,0.09583333,1,2,1,1,0
27,67.27,378.0012,52.0,19656.062,1322302.6,3,379,52,0.1435606,1,2,1,1,0
28,67.27,378.0012,52.0,19656.062,1322302.6,3,379,52,0.1435606,1,2,1,1,0
29,56.85,381.0015,52.0,19812.078,1126356.2,3,382,52,0.14469697,1,2,1,1,0
30,56.85,381.0015,52.0,19812.078,1126356.2,3,382,52,0.14469697,1,2,1,1,0
31,67.37,381.9999,52.0,19863.994,1338157.9,3,382,52,0.14469697,1,2,1,1,0
32,67.37,381.9999,52.0,19863.994,1338157.9,3,382,52,0.14469697,1,2,1,1,0
33,63.84,381.0002,52.0,19812.01,1264838.4,3,382,52,0.14469697,1,2,1,1,0
34,63.84,381.0002,52.0,19812.01,1264838.4,3,382,52,0.14469697,1,2,1,1,0
35,36.77,383.0012,52.0,19916.062,732353.44,3,384,52,0.14545454,0,2,1,2,333
36,67.67,380.0012,52.0,19760.062,1337084.4,3,381,52,0.14431818,1,2,1,1,0
37,64.57,384.0015,52.0,19968.078,1289338.8,3,385,52,0.14583333,1,2,1,1,0
38,50.18,391.9999,44.0,17247.996,865573.44,3,392,44,0.07424242,1,2,1,1,0
39,70.75,247.9998,52.0,12895.989,912365.5,3,248,52,0.093939394,1,1,1,1,0
40,70.75,247.9998,52.0,12895.989,912365.5,3,248,52,0.093939394,1,1,1,1,0
41,67.62,375.9999,52.0,19551.994,1322184.1,3,376,52,0.14242424,1,1,1,1,0
42,67.62,375.9999,52.0,19551.994,1322184.1,3,376,52,0.14242424,1,1,1,1,0
43,69.37,380.0002,52.0,19760.01,1370712.4,3,381,52,0.14431818,1,1,1,1,0
44,69.37,380.0002,52.0,19760.01,1370712.4,3,381,52,0.14431818,1,1,1,1,0
45,68.33,382.0117,52.0,19864.61,1357428.1,3,383,52,0.14507575,1,1,1,1,0
46,68.33,382.0117,52.0,19864.61,1357428.1,3,383,52,0.14507575,1,1,1,1,0
