,oci_cat,oci,area_sq_ft,seg_cd,total_count,day_diff,func_cat,pvm_cat,status_cat
0,0,34.14,28137.783,2,0.0,0,6,1,0
1,1,97.25,20199.627,2,0.0,0,6,2,1
2,1,62.67,19716.0,2,0.0,0,6,2,1
3,1,68.86,20373.18,9,0.0,0,6,2,1
4,0,28.67,19802.752,9,0.0,0,6,2,0
5,0,20.91,19922.742,9,0.0,0,6,2,0
6,1,82.21,5876.937,9,0.0,0,6,2,1
7,1,77.02,17371.662,3,0.0,0,6,2,1
8,1,50.71,10249.638,3,0.0,0,6,2,1
9,1,56.74,71988.09,1,0.0,0,6,2,1
10,1,82.74,9684.495,2,0.0,0,6,2,1
11,1,41.09,10085.223,2,0.0,169,6,1,1
12,1,54.93,9728.385,2,0.0,169,6,1,1
13,1,74.7,11103.9,2,0.0,169,6,2,1
14,0,33.27,3777.744,2,0.0,0,6,1,0
15,1,84.98,14080.0,3,0.0,154,2,1,1
16,1,84.98,14080.0,3,0.0,0,2,1,1
17,1,77.62,14280.0,3,0.0,154,2,1,1
18,1,77.62,14280.0,3,0.0,0,2,1,1
19,1,78.78,30156.0,3,0.0,194,2,1,1
20,1,78.78,30156.0,3,0.0,0,2,1,1
21,1,62.01,25494.0,3,0.0,0,2,1,1
22,1,50.86,19950.0,3,0.0,0,2,1,1
23,1,87.95,27720.03,3,0.0,0,2,1,1
24,1,81.94,27678.799,3,0.0,0,2,1,1
25,1,48.84,28402.365,3,0.0,0,2,1,1
26,1,66.31,13156.0,3,0.0,0,2,1,1
27,1,67.27,19656.062,3,0.0,0,2,1,1
28,1,67.27,19656.062,3,0.0,0,2,1,1
29,1,56.85,19812.078,3,0.0,0,2,1,1
30,1,56.85,19812.078,3,0.0,0,2,1,1
31,1,67.37,19863.994,3,0.0,0,2,1,1
32,1,67.37,19863.994,3,0.0,0,2,1,1
33,1,63.84,19812.01,3,0.0,0,2,1,1
34,1,63.84,19812.01,3,0.0,0,2,1,1
35,0,36.77,19916.062,3,0.0,333,2,1,0
36,1,67.67,19760.062,3,0.0,0,2,1,1
37,1,64.57,19968.078,3,0.0,0,2,1,1
38,1,50.18,17247.996,3,0.0,0,2,1,1
39,1,70.75,12895.989,3,0.0,0,1,1,1
40,1,70.75,12895.989,3,0.0,0,1,1,1
41,1,67.62,19551.994,3,0.0,0,1,1,1
42,1,67.62,19551.994,3,0.0,0,1,1,1
43,1,69.37,19760.01,3,0.0,0,1,1,1
44,1,69.37,19760.01,3,0.0,0,1,1,1
45,1,68.33,19864.61,3,0.0,0,1,1,1
46,1,68.33,19864.61,3,0.0,0,1,1,1
47,1,54.54,19812.266,3,0.0,0,1,1,1
48,1,54.54,19812.266,3,0.0,0,1,1,1
49,1,82.45,19604.062,3,0.0,0,1,1,1
50,1,89.0,19916.078,3,0.0,0,1,1,1
51,1,60.55,19707.994,3,0.0,0,1,1,1
52,1,62.47,19760.062,3,0.0,0,1,1,1
53,1,72.43,19916.078,3,0.0,0,1,1,1
54,1,79.37,19760.062,3,0.0,0,1,1,1
55,1,89.05,19760.062,3,0.0,0,2,1,1
56,1,88.62,19500.27,3,0.0,0,2,1,1
57,1,89.28,20072.078,3,0.0,0,2,1,1
58,1,66.62,23520.684,3,0.0,0,1,1,1
59,1,76.69,23040.072,3,0.0,194,2,1,1
60,1,86.71,22980.72,3,0.0,194,2,1,1
61,1,69.8,10440.042,3,0.0,0,5,1,1
62,1,71.5,10440.042,3,0.0,0,5,1,1
63,1,81.1,21390.027,3,0.0,0,5,1,1
64,1,86.13,26400.027,3,0.0,0,1,1,1
65,1,71.06,26360.12,3,0.0,0,1,1,1
66,1,56.76,15200.008,3,0.0,0,1,1,1
67,1,52.52,15285.048,3,0.0,0,1,1,1
68,1,79.5,22679.994,3,0.0,154,1,1,1
69,1,79.5,22679.994,3,0.0,0,1,1,1
70,1,70.14,22980.012,3,0.0,154,1,1,1
71,1,70.14,22980.012,3,0.0,0,1,1,1
72,1,46.91,22740.072,3,0.0,154,1,1,1
73,1,46.91,22740.072,3,0.0,0,1,1,1
74,1,48.3,22799.994,3,0.0,154,1,1,1
75,1,48.3,22799.994,3,0.0,0,1,1,1
76,1,55.5,22860.09,3,0.0,154,1,1,1
77,1,55.5,22860.09,3,0.0,0,1,1,1
78,1,48.1,22919.994,3,0.0,154,1,1,1
79,1,48.1,22919.994,3,0.0,0,1,1,1
80,1,57.76,22800.312,3,0.0,154,2,1,1
81,1,57.76,22800.312,3,0.0,0,2,1,1
82,1,67.35,19864.266,3,0.0,0,2,1,1
83,1,69.62,19500.62,3,0.0,0,2,1,1
84,1,62.59,20020.0,3,0.0,0,2,1,1
85,1,78.98,19656.613,3,0.0,0,2,1,1
86,1,78.98,19656.613,3,0.0,0,2,1,1
87,1,78.98,19656.613,3,0.0,0,2,1,1
88,1,93.22,19812.266,3,0.0,0,2,1,1
89,1,93.12,19919.338,3,0.0,0,2,1,1
90,1,79.18,20332.26,3,0.0,0,2,1,1
91,1,87.12,20123.994,3,0.0,0,2,1,1
92,1,78.2,19709.107,3,0.0,0,2,1,1
93,1,68.25,20071.994,3,0.0,0,2,1,1
94,1,74.26,38130.6,3,0.0,0,1,1,1
95,1,63.42,16912.096,3,0.0,0,1,1,1
96,1,72.11,19488.0,3,0.0,0,5,1,1
97,1,76.6,19489.283,3,0.0,0,5,1,1
98,1,58.0,11600.01,3,0.0,0,5,1,1
99,1,82.29,24050.055,3,0.0,0,2,1,1
100,1,91.58,27225.027,3,0.0,0,2,1,1
101,1,77.58,21465.049,3,0.0,0,2,1,1
102,1,76.61,29745.0,3,0.0,0,2,1,1
103,1,79.08,29610.035,3,0.0,0,2,1,1
104,1,72.92,30375.314,3,0.0,0,2,1,1
105,1,69.99,12791.989,3,0.0,0,2,1,1
106,1,67.99,19707.994,3,0.0,0,2,1,1
107,1,89.28,19811.994,3,0.0,0,2,1,1
